No.,ritual_number,author,date,ethnography_title,culture,ritual_name
1,Ritual1,C. Wissler,1918,The Sun Dance of the Blackfoot Indians,Blackfoot,Vow
2,Ritual2,C. Wissler,1918,The Sun Dance of the Blackfoot Indians,Blackfoot,Ceremony of the tongues
3,Ritual3,C. Wissler,1918,The Sun Dance of the Blackfoot Indians,Blackfoot,Hundred willow sweat house
4,Ritual4,C. Wissler,1918,The Sun Dance of the Blackfoot Indians,Blackfoot,
5,Ritual5,C. Wissler,1918,The Sun Dance of the Blackfoot Indians,Blackfoot,Cutting of sun pole
6,Ritual6,C. Wissler,1918,The Sun Dance of the Blackfoot Indians,Blackfoot,raising sun pole
7,Ritual7,C. Wissler,1918,The Sun Dance of the Blackfoot Indians,Blackfoot,weather dance
8,Ritual8,C. Wissler,1918,The Sun Dance of the Blackfoot Indians,Blackfoot,sun god ceremony
9,Ritual9,M. Mountain Horse,1979,My people the Bloods,Blackfoot,making of a brave? (assumed)
10,Ritual10,E. Cerulli,1964,The Somali Tribe,Somali,ritual of assembly
11,Ritual11,B. Helander,1997,The slaughtered camel: coping with fictitious descent among the Hubeer of southern Somalia,Somali,"tuf, healing ritual"
12,Ritual12,C. A. Clark,1932,Religions of old Korea,Korea,ordination of buddhist priest
13,Ritual13,C. A. Clark,1932,Religions of old Korea,Korea,public worship and sermon
14,Ritual14,C. A. Clark,1932,Religions of old Korea,Korea,private worship
15,Ritual15,C. A. Clark,1932,Religions of old Korea,Korea,Yum Chun Yum Sa
16,Ritual16a,C. A. Clark,1932,Religions of old Korea,Korea,Healing koot/kut
17,Ritual16b,L. Kendall,1985,Housewives and other restless spirits: women in Korean ritual life,Korea,Healing koot/kut
18,Ritual17,C. A. Clark,1932,Religions of old Korea,Korea,"The Family Shamas, the Chunchei or Sanchet"
19,Ritual18,L. Kendall,1985,"Shamans, housewives and other restless spirits: women in Korean ritual life",Korea,Chesa (?)
20,Ritual19,K.-g. Yi,1984,Family and religion in contemporary Korea,Korea,Ki-je
21,Ritual20,E. E. B. Landis,1896,Mourning and burial rites of Korea,Korea,Funerary proceedings
22,Ritual21,W. Jochelson,1933,The Yakut,Yukut,Healing ritual
