feature_category,feature_variable,feature_description,feature_options
function,Wedding,Formal union between two individuals recognized as a procreative or domestic partnership,Present (1)/ Absent (0)
function,OtherUnion,Formal union between two individuals that isn't a marriage,Present (1)/ Absent (0)
function,DissolveUnion,Termination of a formalized marital or domestic relationship,Present (1)/ Absent (0)
function,WorldyPursuit,"Formal activity or ceremony meant to change something in this world, as opposed to a supernatural realm",Present (1)/ Absent (0)
function,Apotropaeic,Curing of disease and protecting from harm and evil,Present (1)/ Absent (0)
function,OtherWorldyPursuit,Formal activity or ceremony oriented primarily towards the supernatural realm and not aimed at changes in this world,Present (1)/ Absent (0)
function,Initiation,"Initiation of individuals into a group, association, or a new status or position in society",Present (1)/ Absent (0)
function,Installation,Official installation of a leader in his new position,Present (1)/ Absent (0)
function,Divination,Divination of future events,Present (1)/ Absent (0)
function,Liturgical,Official ritual of worship,Present (1)/ Absent (0)
function,NewBorn,Activity related to the birth of a baby,Present (1)/ Absent (0)
function,Funerary,Formal ceremony following close upon the death of an individual and involving some treatment of the deceased's remains,Present (1)/ Absent (0)
function,Commerative,Commemoration of the dead,Present (1)/ Absent (0)
function,Protection,Activities meant to protect from malignant influence,Present (1)/ Absent (0)
function,HouseDedication,Blessing a new house and its inhabitants,Present (1)/ Absent (0)
duration,RitualDuration,Lasting less than one hour,short (1) = less than one hour/ medium (2) = 1 to 6 hours/ long (3) = 6 to 12 hours/ extended (4)= more than 12 hours/Not Reported(999)
participation,ParticipantsSex,Participants are only male,Male(1)/Female(2)/Both Male and Female(3)/Not Reported(999)
participation,Solitary,Activity performed in solitude,Present (1)/ Absent (0)
participation,ImmediateKin,"Participants are the immediate kin group: parents, siblings, spouses, and children",Present (1)/ Absent (0)
participation,ExtendedKin,"Participants are the extended kin group: not only parents, siblings, spouses, and children, but also grandparents, aunts, uncles, cousins, and other more distant relatives",Present (1)/ Absent (0)
participation,Group15abs,Number of ritual participants is less than 15,Present (1)/ Absent (0)
participation,Group50percent,More than 15 people but less than half the local community participate in the ritual,Present (1)/ Absent (0)
participation,Group5090percent,Between 50% and 90% of the local community participates in the ritual,Present (1)/ Absent (0)
participation,Group90100percent,More than 90% of the local community participates in the ritual,Present (1)/ Absent (0)
participation,Outsiders,"Members of other communities and tribal groups participate in the ritual, besides the local community",Present (1)/ Absent (0)
frequency,AnnualPATIENT,"The typical frequency of participation for the patient of the ritual, for example the initiate in an initiation ritual, or the couple to be married in a wedding",1 = daily; 2 = less often than daily but more often than monthly;  3 =monthly; 4 = seasonally (less often than monthly but more often than annually); 5= annually; 6 = less often than annually but usually more often than once in a lifetime; 7 = usually once in a lifetime; 999 = not reported
frequency,AnnualPARTICIPANT,"The typical frequency of participation for the average participant in the ritual and not the ritual officiant or patient, for example the guests at a wedding",1 = daily; 2 = less often than daily but more often than monthly;  3 =monthly; 4 = seasonally (less often than monthly but more often than annually); 5= annually; 6 = less often than annually but usually more often than once in a lifetime; 7 = usually once in a lifetime; 999 = not reported
movement and sounds,Dancing,Dancing and repetitive rhythmic movement,Present (1)/ Absent (0)
movement and sounds,Singing,Singing and repetitive rhythmic vocalization,Present (1)/ Absent (0)
movement and sounds,Percussion,Use of percussion instruments like drums,Present (1)/ Absent (0)
movement and sounds,OtherInstruments,"Use of musical instruments that are not percussion instruments, like wind instruments (pipes, trumpets) or string instruments (harps, lyres, guitars), or idiophones (rattles)",Present (1)/ Absent (0)
movement and sounds,NonRhythmic,"Shouting, screaming and other non-rhythmic and non-tonal vocalizations",Present (1)/ Absent (0)
movement and sounds,IntenseMusicDance,"Music and/or dance that evinces excitement (e.g. through high volume, energetic display, etc.)",Present (1)/ Absent (0)
movement and sounds,SorrowMusicDance,"Music and/or dance that evinces sorrow/nostalgia (e.g. through sad lyrics, poignant motifs, etc.)",Present (1)/ Absent (0)
movement and sounds,LargescaleMusicDance,Music and/or dance that involves large-scale concerted action,Present (1)/ Absent (0)
movement and sounds,Marching,Marching or a procession,Present (1)/ Absent (0)
movement and sounds,Explosions,"Loud bangs, like the firing of guns or fireworks ",Present (1)/ Absent (0)
movement and sounds,Bowing,"Bowing, kneeling or prostration",Present (1)/ Absent (0)
purification,Haircut,Cutting or shaving the hair off the body of ritual participants,Present (1)/ Absent (0)
purification,Washing,Washing of the body of ritual participants,Present (1)/ Absent (0)
purification,Rubbing,Participants rubbed or massaged,Present (1)/ Absent (0)
purification,Sprinkling,Sprinkling or blowing of liquids or small particles,Present (1)/ Absent (0)
purification,Fumigation,Fumigation or any kind of purification using smoke,Present (1)/ Absent (0)
purification,InterdictionHands,Use of hands is forbidden for ritual participants,Present (1)/ Absent (0)
purification,Spitting,Spitting on ritual participants,Present (1)/ Absent (0)
altered states of consciousness,Hallucinogen,Use of hallucinogenic drugs,Present (1)/ Absent (0)
altered states of consciousness,Sedatives,Use of sedatives,Present (1)/ Absent (0)
altered states of consciousness,Alcohol,Drinking alcohol,Present (1)/ Absent (0)
altered states of consciousness,ExecutivePossession,"Some of the ritual participants are at some point perceived to be possessed by a spirit, with that spirit controlling their actions",Present (1)/ Absent (0)
altered states of consciousness,PerformanceTrance,"Some of the ritual participants at some point go into a trance, having diminished awareness of their surroundings and experiencing altered states of consciousness",Present (1)/ Absent (0)
altered states of consciousness,Stimulants,Use of stimulating drugs,Present (1)/ Absent (0)
altered states of consciousness,Smoking,"Smoking tobacco or other substances using a cigarette, pipe, etc.",Present (1)/ Absent (0)
negative bodily stimulation,BurningParticipants,"Burning of ritual participants' bodies with ashed, embers, etc.",Present (1)/ Absent (0)
negative bodily stimulation,WoundingSignificant,Significant wounding or bleeding,Present (1)/ Absent (0)
negative bodily stimulation,WoundingSuperficial,superficial wounding,Present (1)/ Absent (0)
negative bodily stimulation,Beating,Whipping and/or violent beating of participants,Present (1)/ Absent (0)
negative bodily stimulation,Piercing,Piercing the body parts of ritual participants,Present (1)/ Absent (0)
negative bodily stimulation,Scarification,"Scarification, intentionally creating scars on the skin through cutting and burning",Present (1)/ Absent (0)
negative bodily stimulation,Tattooing,Tattooing,Present (1)/ Absent (0)
