Feature,Category,Type,BaseRate,MajorityBaselineF1,BestLLM_F1,LLM_vs_Baseline,LLM_Beats_Baseline
SwallowingObjects,negative bodily stimulation,binary,0.005291005291005291,0,1,1,TRUE
NewBorn,function,binary,0.059964726631393295,0,0.8918918918918919,0.8918918918918919,TRUE
Funerary,function,binary,0.13932980599647266,0,0.8520710059171598,0.8520710059171598,TRUE
Circumcision,negative bodily stimulation,binary,0.015873015873015872,0,0.8421052631578948,0.8421052631578948,TRUE
Hallucinogen,altered states of consciousness,binary,0.010582010582010581,0,0.8333333333333334,0.8333333333333334,TRUE
Wedding,function,binary,0.029982363315696647,0,0.8125,0.8125,TRUE
Initiation,function,binary,0.10052910052910052,0,0.7913669064748202,0.7913669064748202,TRUE
Dancing,movement and sounds,binary,0.2874779541446208,0,0.779874213836478,0.779874213836478,TRUE
Singing,movement and sounds,binary,0.41975308641975306,0,0.7662082514734775,0.7662082514734775,TRUE
SacrificeAnimal,spectacle,binary,0.18165784832451498,0,0.7555555555555555,0.7555555555555555,TRUE
Spitting,purification,binary,0.019400352733686066,0,0.7500000000000001,0.7500000000000001,TRUE
SuckingofPatient,negative bodily stimulation,binary,0.005291005291005291,0,0.7499999999999999,0.7499999999999999,TRUE
Sexual intercourse,spectacle,binary,0.014109347442680775,0,0.7368421052631579,0.7368421052631579,TRUE
Explosions,movement and sounds,binary,0.03880070546737213,0,0.7368421052631577,0.7368421052631577,TRUE
ExecutivePossession,altered states of consciousness,binary,0.06525573192239859,0,0.7246376811594204,0.7246376811594204,TRUE
Percussion,movement and sounds,binary,0.20987654320987653,0,0.7183673469387755,0.7183673469387755,TRUE
Marching,movement and sounds,binary,0.18518518518518517,0,0.7090909090909092,0.7090909090909092,TRUE
WorldyPursuit,function,binary,0.4126984126984127,0,0.7011070110701108,0.7011070110701108,TRUE
Beating,negative bodily stimulation,binary,0.019400352733686066,0,0.6923076923076923,0.6923076923076923,TRUE
Haircut,purification,binary,0.03880070546737213,0,0.6896551724137931,0.6896551724137931,TRUE
Blood,spectacle,binary,0.1111111111111111,0,0.6891891891891891,0.6891891891891891,TRUE
CommunalEating,indicators of bonding,binary,0.2310405643738977,0,0.6789667896678967,0.6789667896678967,TRUE
OtherUnion,function,binary,0.014109347442680775,0,0.6666666666666666,0.6666666666666666,TRUE
Sedatives,altered states of consciousness,binary,0.015873015873015872,0,0.6666666666666666,0.6666666666666666,TRUE
SacrificeHuman,spectacle,binary,0.005291005291005291,0,0.6666666666666666,0.6666666666666666,TRUE
Washing,purification,binary,0.12169312169312169,0,0.6560846560846562,0.6560846560846562,TRUE
Alcohol,altered states of consciousness,binary,0.13051146384479717,0,0.6496815286624205,0.6496815286624205,TRUE
Speechmaking,spectacle,binary,0.37918871252204583,0,0.648888888888889,0.648888888888889,TRUE
Naming,spectacle,binary,0.037037037037037035,0,0.631578947368421,0.631578947368421,TRUE
HouseDedication,function,binary,0.019400352733686066,0,0.6285714285714286,0.6285714285714286,TRUE
Weapons,spectacle,binary,0.09700176366843033,0,0.6226415094339622,0.6226415094339622,TRUE
Fasting,endurance ordeals,binary,0.04409171075837742,0,0.6101694915254238,0.6101694915254238,TRUE
NonRhythmic,movement and sounds,binary,0.12522045855379188,0,0.6021505376344086,0.6021505376344086,TRUE
Installation,function,binary,0.007054673721340388,0,0.6,0.6,TRUE
Tattooing,negative bodily stimulation,binary,0.007054673721340388,0,0.6,0.6,TRUE
Minatures,spectacle,binary,0.04938271604938271,0,0.6,0.6,TRUE
Divination,function,binary,0.04409171075837742,0,0.5964912280701754,0.5964912280701754,TRUE
Costume,spectacle,binary,0.20282186948853614,0,0.5810055865921788,0.5810055865921788,TRUE
PerformanceTrance,altered states of consciousness,binary,0.04409171075837742,0,0.575,0.575,TRUE
InterdictionHands,purification,binary,0.008818342151675485,0,0.5714285714285715,0.5714285714285715,TRUE
WaterOffering,spectacle,binary,0.031746031746031744,0,0.5714285714285715,0.5714285714285715,TRUE
Isolation,psychological discomfort,binary,0.047619047619047616,0,0.5633802816901409,0.5633802816901409,TRUE
Sprinkling,purification,binary,0.09876543209876543,0,0.5594405594405594,0.5594405594405594,TRUE
FireEmbers,spectacle,binary,0.10052910052910052,0,0.5521472392638036,0.5521472392638036,TRUE
Stimulants,altered states of consciousness,binary,0.031746031746031744,0,0.5454545454545455,0.5454545454545455,TRUE
Rubbing,purification,binary,0.04056437389770723,0,0.5454545454545454,0.5454545454545454,TRUE
Piercing,negative bodily stimulation,binary,0.005291005291005291,0,0.5454545454545454,0.5454545454545454,TRUE
ImmediateKin,participation,binary,0.24162257495590828,0,0.5422740524781341,0.5422740524781341,TRUE
PathogenicPossession,spectacle,binary,0.021164021164021163,0,0.5217391304347826,0.5217391304347826,TRUE
OtherInstruments,movement and sounds,binary,0.06878306878306878,0,0.5128205128205128,0.5128205128205128,TRUE
Solitary,participation,binary,0.05114638447971781,0,0.5098039215686274,0.5098039215686274,TRUE
ExtendedKin,participation,binary,0.15696649029982362,0,0.5054945054945056,0.5054945054945056,TRUE
Bowing,movement and sounds,binary,0.06701940035273368,0,0.5,0.5,TRUE
Vomiting,negative bodily stimulation,binary,0.005291005291005291,0,0.5,0.5,TRUE
MockConflict,spectacle,binary,0.06172839506172839,0,0.4883720930232558,0.4883720930232558,TRUE
RitualConstruction,spectacle,binary,0.12169312169312169,0,0.4803921568627452,0.4803921568627452,TRUE
BurialOfferings,spectacle,binary,0.02292768959435626,0,0.46153846153846156,0.46153846153846156,TRUE
WoundingSuperficial,negative bodily stimulation,binary,0.026455026455026454,0,0.4444444444444444,0.4444444444444444,TRUE
Dehydration,endurance ordeals,binary,0.010582010582010581,0,0.42857142857142855,0.42857142857142855,TRUE
Group50percent,participation,binary,0.2222222222222222,0,0.4052532833020638,0.4052532833020638,TRUE
Scarification,negative bodily stimulation,binary,0.001763668430335097,0,0.4,0.4,TRUE
Outsiders,participation,binary,0.06172839506172839,0,0.3950617283950617,0.3950617283950617,TRUE
HolySite,spectacle,binary,0.14638447971781304,0,0.3888888888888889,0.3888888888888889,TRUE
HolyObjects,spectacle,binary,0.13403880070546736,0,0.371900826446281,0.371900826446281,TRUE
TabooSmoke,taboos,binary,0.003527336860670194,0,0.3636363636363636,0.3636363636363636,TRUE
Apotropaeic,function,binary,0.059964726631393295,0,0.3603603603603604,0.3603603603603604,TRUE
Smoking,altered states of consciousness,binary,0.021164021164021163,0,0.36000000000000004,0.36000000000000004,TRUE
SleepDeprivation,endurance ordeals,binary,0.03527336860670194,0,0.358974358974359,0.358974358974359,TRUE
Joyful,indicators of bonding,binary,0.08818342151675485,0,0.3564356435643565,0.3564356435643565,TRUE
Confession,spectacle,binary,0.01763668430335097,0,0.3555555555555555,0.3555555555555555,TRUE
IntenseMusicDance,movement and sounds,binary,0.04946996466431095,0,0.3448275862068966,0.3448275862068966,TRUE
TabooSexual,taboos,binary,0.026455026455026454,0,0.339622641509434,0.339622641509434,TRUE
TextRecitation,spectacle,binary,0.06525573192239859,0,0.3355704697986577,0.3355704697986577,TRUE
Group90100percent,participation,binary,0.06525573192239859,0,0.3296703296703297,0.3296703296703297,TRUE
