Feature,Category,Precision,Recall,F1,ModelBase,Condition
Wedding,function,0.52,0.7647058823529411,0.6190476190476191,claudesonnet45,mtp
OtherUnion,function,1,0.25,0.4,claudesonnet45,mtp
WorldyPursuit,function,0.6148867313915858,0.8154506437768241,0.7011070110701108,claudesonnet45,mtp
Apotropaeic,function,0.2028985507246377,0.8235294117647058,0.32558139534883723,claudesonnet45,mtp
OtherWorldyPursuit,function,0.13380281690140844,0.4523809523809524,0.20652173913043478,claudesonnet45,mtp
Initiation,function,0.4263565891472868,0.9821428571428571,0.5945945945945945,claudesonnet45,mtp
Installation,function,0.16666666666666666,0.75,0.27272727272727276,claudesonnet45,mtp
Divination,function,0.53125,0.68,0.5964912280701754,claudesonnet45,mtp
Liturgical,function,0.10778443113772455,0.9473684210526315,0.1935483870967742,claudesonnet45,mtp
NewBorn,function,0.7441860465116279,0.9696969696969697,0.8421052631578948,claudesonnet45,mtp
Funerary,function,0.8571428571428571,0.759493670886076,0.8053691275167785,claudesonnet45,mtp
Commerative,function,0.16831683168316833,0.6296296296296297,0.265625,claudesonnet45,mtp
Protection,function,0.024630541871921183,0.8333333333333334,0.04784688995215312,claudesonnet45,mtp
HouseDedication,function,0.43478260869565216,0.9090909090909091,0.5882352941176471,claudesonnet45,mtp
RitualDuration,duration,NA,NA,NA,claudesonnet45,mtp
ParticipantsSex,participation,0.406479464710805,0.4723417679300032,0.42536815851106913,claudesonnet45,mtp
Solitary,participation,0.45454545454545453,0.18518518518518517,0.2631578947368421,claudesonnet45,mtp
ImmediateKin,participation,0.5471698113207547,0.21323529411764705,0.30687830687830686,claudesonnet45,mtp
ExtendedKin,participation,0.35377358490566035,0.8426966292134831,0.4983388704318937,claudesonnet45,mtp
Group15abs,participation,0.6708074534161491,0.36,0.4685466377440347,claudesonnet45,mtp
Group50percent,participation,0.2532467532467532,0.312,0.27956989247311825,claudesonnet45,mtp
Group5090percent,participation,0.12777777777777777,0.6764705882352942,0.21495327102803738,claudesonnet45,mtp
Group90100percent,participation,0.22448979591836735,0.3055555555555556,0.2588235294117647,claudesonnet45,mtp
Outsiders,participation,0.2631578947368421,0.7142857142857143,0.3846153846153846,claudesonnet45,mtp
AnnualPATIENT,frequency,0.22441053952177123,0.414151955122917,0.2720519153027975,claudesonnet45,mtp
AnnualPARTICIPANT,frequency,0.3987517499265958,0.34368376675806156,0.3584586860761684,claudesonnet45,mtp
Dancing,movement and sounds,0.7794117647058824,0.6503067484662577,0.709030100334448,claudesonnet45,mtp
Singing,movement and sounds,0.728448275862069,0.7100840336134454,0.7191489361702127,claudesonnet45,mtp
Percussion,movement and sounds,0.6779661016949152,0.6722689075630253,0.6751054852320676,claudesonnet45,mtp
OtherInstruments,movement and sounds,0.2845528455284553,0.8974358974358975,0.43209876543209874,claudesonnet45,mtp
NonRhythmic,movement and sounds,0.43089430894308944,0.7464788732394366,0.5463917525773195,claudesonnet45,mtp
IntenseMusicDance,movement and sounds,0.20618556701030927,0.7142857142857143,0.32,claudesonnet45,mtp
SorrowMusicDance,movement and sounds,0.06382978723404255,0.5,0.11320754716981131,claudesonnet45,mtp
LargescaleMusicDance,movement and sounds,0.03424657534246575,1,0.06622516556291391,claudesonnet45,mtp
Marching,movement and sounds,0.6230769230769231,0.7714285714285715,0.6893617021276597,claudesonnet45,mtp
Explosions,movement and sounds,0.5769230769230769,0.6818181818181818,0.6249999999999999,claudesonnet45,mtp
Bowing,movement and sounds,0.2631578947368421,0.9210526315789473,0.40935672514619886,claudesonnet45,mtp
Haircut,purification,0.5,0.631578947368421,0.5581395348837209,claudesonnet45,mtp
Washing,purification,0.4129032258064516,0.927536231884058,0.5714285714285714,claudesonnet45,mtp
Rubbing,purification,0.32,0.6956521739130435,0.4383561643835616,claudesonnet45,mtp
Sprinkling,purification,0.2913907284768212,0.8,0.4271844660194175,claudesonnet45,mtp
Fumigation,purification,0.10227272727272728,0.9,0.18367346938775514,claudesonnet45,mtp
InterdictionHands,purification,0.36363636363636365,0.8,0.5000000000000001,claudesonnet45,mtp
Spitting,purification,0.38461538461538464,0.9090909090909091,0.5405405405405405,claudesonnet45,mtp
Hallucinogen,altered states of consciousness,0.5714285714285714,0.6666666666666666,0.6153846153846153,claudesonnet45,mtp
Sedatives,altered states of consciousness,0.5,0.3333333333333333,0.4,claudesonnet45,mtp
Alcohol,altered states of consciousness,0.5,0.8767123287671232,0.6368159203980099,claudesonnet45,mtp
ExecutivePossession,altered states of consciousness,0.5581395348837209,0.6666666666666666,0.6075949367088608,claudesonnet45,mtp
PerformanceTrance,altered states of consciousness,0.41818181818181815,0.92,0.575,claudesonnet45,mtp
Stimulants,altered states of consciousness,0.3333333333333333,0.1111111111111111,0.16666666666666666,claudesonnet45,mtp
Smoking,altered states of consciousness,0.23076923076923078,0.8181818181818182,0.36000000000000004,claudesonnet45,mtp
BurningParticipants,negative bodily stimulation,0,0,0,claudesonnet45,mtp
WoundingSignificant,negative bodily stimulation,0.1,0.4,0.16000000000000003,claudesonnet45,mtp
WoundingSuperficial,negative bodily stimulation,0.38095238095238093,0.5333333333333333,0.4444444444444444,claudesonnet45,mtp
Beating,negative bodily stimulation,0.6,0.8181818181818182,0.6923076923076923,claudesonnet45,mtp
Piercing,negative bodily stimulation,0.2727272727272727,1,0.42857142857142855,claudesonnet45,mtp
Scarification,negative bodily stimulation,0.25,1,0.4,claudesonnet45,mtp
Tattooing,negative bodily stimulation,0.375,0.75,0.5,claudesonnet45,mtp
LacerationSensitive,negative bodily stimulation,0,0,0,claudesonnet45,mtp
Circumcision,negative bodily stimulation,0.7272727272727273,0.8888888888888888,0.7999999999999999,claudesonnet45,mtp
FoulOlfaction,negative bodily stimulation,0.08695652173913043,0.25,0.12903225806451613,claudesonnet45,mtp
Vomiting,negative bodily stimulation,0.25,1,0.4,claudesonnet45,mtp
SwallowingObjects,negative bodily stimulation,0.75,1,0.8571428571428571,claudesonnet45,mtp
SuckingofPatient,negative bodily stimulation,0.42857142857142855,1,0.6,claudesonnet45,mtp
Fasting,endurance ordeals,0.45454545454545453,0.6,0.5172413793103449,claudesonnet45,mtp
AthleticFeats,endurance ordeals,0.1415929203539823,0.8421052631578947,0.2424242424242424,claudesonnet45,mtp
SleepDeprivation,endurance ordeals,0.2222222222222222,0.7,0.3373493975903614,claudesonnet45,mtp
Dehydration,endurance ordeals,0.25,0.3333333333333333,0.28571428571428575,claudesonnet45,mtp
Immobility,endurance ordeals,0.11764705882352941,0.8571428571428571,0.2068965517241379,claudesonnet45,mtp
Isolation,psychological discomfort,0.43478260869565216,0.7407407407407407,0.5479452054794521,claudesonnet45,mtp
Fear,psychological discomfort,0.07476635514018691,1,0.1391304347826087,claudesonnet45,mtp
Humilation,psychological discomfort,0.07894736842105263,1,0.14634146341463414,claudesonnet45,mtp
DramaticActs,spectacle,0.03614457831325301,0.46153846153846156,0.0670391061452514,claudesonnet45,mtp
HolyObjects,spectacle,0.2513089005235602,0.631578947368421,0.35955056179775274,claudesonnet45,mtp
HolySite,spectacle,0.26785714285714285,0.54216867469879515,0.35856573705179284,claudesonnet45,mtp
RitualConstruction,spectacle,0.33035714285714285,0.5362318840579711,0.4088397790055249,claudesonnet45,mtp
LargeCrowd,spectacle,0.07588075880758807,0.9655172413793104,0.14070351758793967,claudesonnet45,mtp
MockConflict,spectacle,0.4074074074074074,0.3142857142857143,0.3548387096774193,claudesonnet45,mtp
Costume,spectacle,0.4386792452830189,0.808695652173913,0.5688073394495413,claudesonnet45,mtp
FireEmbers,spectacle,0.31125827814569534,0.8245614035087719,0.4519230769230769,claudesonnet45,mtp
SacrificeAnimal,spectacle,0.59375,0.9223300970873787,0.7224334600760456,claudesonnet45,mtp
SacrificeHuman,spectacle,0.42857142857142855,1,0.6,claudesonnet45,mtp
WaterOffering,spectacle,0.1411764705882353,0.6666666666666666,0.23300970873786406,claudesonnet45,mtp
Minatures,spectacle,0.2982456140350877,0.6071428571428571,0.4,claudesonnet45,mtp
PathogenicPossession,spectacle,0.2,0.75,0.31578947368421056,claudesonnet45,mtp
Speechmaking,spectacle,0.5727699530516432,0.5727699530516432,0.5727699530516432,claudesonnet45,mtp
TextRecitation,spectacle,0.12595419847328243,0.8918918918918919,0.22073578595317725,claudesonnet45,mtp
Naming,spectacle,0.3541666666666667,0.8095238095238095,0.4927536231884058,claudesonnet45,mtp
Blood,spectacle,0.44537815126050423,0.8412698412698413,0.5824175824175825,claudesonnet45,mtp
Weapons,spectacle,0.4074074074074074,0.8,0.5398773006134969,claudesonnet45,mtp
Sexual intercourse,spectacle,0.5,1,0.6666666666666666,claudesonnet45,mtp
StoryTelling,spectacle,0.1,0.8,0.1777777777777778,claudesonnet45,mtp
BurialOfferings,spectacle,0.14545454545454545,0.6153846153846154,0.2352941176470588,claudesonnet45,mtp
BurningOfferings,spectacle,0.16666666666666666,0.8888888888888888,0.2807017543859649,claudesonnet45,mtp
Confession,spectacle,0.14285714285714285,0.6,0.23076923076923073,claudesonnet45,mtp
Games,indicators of bonding,0.2,0.4,0.26666666666666666,claudesonnet45,mtp
CommunalEating,indicators of bonding,0.4359861591695502,0.9618320610687023,0.6,claudesonnet45,mtp
Joyful,indicators of bonding,0.2182741116751269,0.86,0.3481781376518218,claudesonnet45,mtp
TabooSmoke,taboos,0.2,1,0.33333333333333337,claudesonnet45,mtp
TabooAlcohol,taboos,0.1,0.4,0.16000000000000003,claudesonnet45,mtp
TabooSexual,taboos,0.1956521739130435,0.6,0.29508196721311475,claudesonnet45,mtp
TabooTalking,taboos,0.16666666666666666,0.8333333333333334,0.2777777777777778,claudesonnet45,mtp
PeakEuphoria,arousal,0.18944973860977776,0.20340594423071215,0.18802353786455037,claudesonnet45,mtp
AvgEuphoria,arousal,0.1496065765168755,0.1542842136854742,0.11527751901364627,claudesonnet45,mtp
ParticipantPeakEuphoria,arousal,0.21629665515207683,0.23047850779092866,0.2101022516223175,claudesonnet45,mtp
PeakDysphoria,arousal,0.44034688409365463,0.3690512654478837,0.34691259554669324,claudesonnet45,mtp
AvgDyphoria,arousal,0.19987593927811315,0.21520117338020875,0.19012652312069775,claudesonnet45,mtp
SensoryPageantry,ritual form,0.1089954542266766,0.20069956433826303,0.13800095721947495,claudesonnet45,mtp
SMarker,ritual form,0.09799293342542904,0.23022803114571747,0.07453929539295392,claudesonnet45,mtp
Exegesis,exegesis,0.1928869778869779,0.20004240882103477,0.07848266553666997,claudesonnet45,mtp
AcquisitionExegesis,exegesis,0.20902255639097742,0.20270793036750484,0.022609698500741394,claudesonnet45,mtp
Wedding,function,0.2830188679245283,0.8823529411764706,0.4285714285714286,claudesonnet45,baseline
OtherUnion,function,0.4,0.75,0.5217391304347827,claudesonnet45,baseline
WorldyPursuit,function,0.44509803921568625,0.9742489270386266,0.611036339165545,claudesonnet45,baseline
Apotropaeic,function,0.10559006211180125,1,0.19101123595505617,claudesonnet45,baseline
OtherWorldyPursuit,function,0.08042895442359249,0.6976744186046512,0.14423076923076925,claudesonnet45,baseline
Initiation,function,0.3352941176470588,1,0.5022026431718062,claudesonnet45,baseline
Installation,function,0.08571428571428572,0.75,0.15384615384615383,claudesonnet45,baseline
Divination,function,0.1693548387096774,0.84,0.28187919463087246,claudesonnet45,baseline
Liturgical,function,0.050397877984084884,1,0.09595959595959597,claudesonnet45,baseline
NewBorn,function,0.5,0.9411764705882353,0.6530612244897959,claudesonnet45,baseline
Funerary,function,0.7064220183486238,0.9746835443037974,0.8191489361702128,claudesonnet45,baseline
Commerative,function,0.07647058823529412,0.48148148148148145,0.1319796954314721,claudesonnet45,baseline
Protection,function,0.015384615384615385,1,0.030303030303030307,claudesonnet45,baseline
HouseDedication,function,0.2857142857142857,0.9090909090909091,0.43478260869565216,claudesonnet45,baseline
RitualDuration,duration,0.24753219326548256,0.27104163651478624,0.2311271894280744,claudesonnet45,baseline
ParticipantsSex,participation,0.42249320446994865,0.4696646307169693,0.4107388249493513,claudesonnet45,baseline
Solitary,participation,0.625,0.3448275862068966,0.4444444444444445,claudesonnet45,baseline
ImmediateKin,participation,0.45689655172413796,0.38686131386861317,0.41897233201581036,claudesonnet45,baseline
ExtendedKin,participation,0.3212669683257919,0.797752808988764,0.4580645161290323,claudesonnet45,baseline
Group15abs,participation,0.6829268292682927,0.2847457627118644,0.4019138755980861,claudesonnet45,baseline
Group50percent,participation,0.3128205128205128,0.49193548387096775,0.3824451410658307,claudesonnet45,baseline
Group5090percent,participation,0.15602836879432624,0.6470588235294118,0.25142857142857145,claudesonnet45,baseline
Group90100percent,participation,0.17094017094017094,0.5555555555555556,0.26143790849673204,claudesonnet45,baseline
Outsiders,participation,0.22093023255813954,0.5428571428571428,0.3140495867768595,claudesonnet45,baseline
AnnualPATIENT,frequency,0.2382210670709696,0.4197700025842407,0.27687828955171595,claudesonnet45,baseline
AnnualPARTICIPANT,frequency,0.3480629710533041,0.32472968364219773,0.2679705977979236,claudesonnet45,baseline
Dancing,movement and sounds,0.6523809523809524,0.8404907975460123,0.7345844504021449,claudesonnet45,baseline
Singing,movement and sounds,0.6996197718631179,0.773109243697479,0.7345309381237524,claudesonnet45,baseline
Percussion,movement and sounds,0.5935483870967742,0.773109243697479,0.6715328467153284,claudesonnet45,baseline
OtherInstruments,movement and sounds,0.2222222222222222,0.8717948717948718,0.35416666666666663,claudesonnet45,baseline
NonRhythmic,movement and sounds,0.3684210526315789,0.8873239436619719,0.5206611570247934,claudesonnet45,baseline
