F1_se,Precision_se,Recall_se,F1,Precision,Recall,ModelBase,Condition
0.019693800896296184,0.01980678431834714,0.025765431155448795,0.3866926660421186,0.32791825306419403,0.6577596013839263,claudesonnet45,mtp
0.018209162740860783,0.01651774192259766,0.02367077908134101,0.32632541184191616,0.249167985850764,0.7640269001162684,claudesonnet45,baseline
0.020906565532566205,0.021672734766249008,0.027710389472575255,0.3994518202643562,0.35848730620073627,0.6403850502539212,deepseekv31671b,ensemble_mtp
0.021691318733865993,0.02244703973677533,0.027634801640477245,0.3956682995343034,0.3656246062646956,0.6212544578888172,deepseekv31671b,mtp
0.021208554582505087,0.019158950037557108,0.026568051233402074,0.37546758342854925,0.3133892318816519,0.6800348355670399,deepseekv31671b,baseline
0.020127048052889607,0.017939517503604147,0.024077752110695357,0.3705183081117384,0.2886269711562176,0.7279886964510515,gpt5nano,mtp
0.018170695112549724,0.01543192926567414,0.021975564104544137,0.31497513582895026,0.23114368770871926,0.7895591799816933,gpt5nano,baseline
0.020148815419923093,0.019894970512587883,0.02282143744360442,0.4109627288771717,0.33871616582968433,0.7179784279120693,gptoss120b,ensemble_mtp
0.020175064039058947,0.019424517521673,0.0230107775976492,0.4060497928988392,0.33160849993325286,0.714655810436622,gptoss120b,mtp
0.018689577833031986,0.0170007206752295,0.022502069445560168,0.3621874982920413,0.2811557076441304,0.7462403392084683,gptoss120b,baseline
0.014819888049432895,0.02310028432834103,0.029919336859855615,0.13125498737371913,0.18648417262540987,0.27669401944189725,llama33b,ensemble_mtp
0.01504047698903971,0.02501661365589271,0.030197792614411634,0.1307467043704239,0.19187036850941497,0.26859850270366914,llama33b,mtp
0.012585802483883933,0.009480957753161351,0.025419847977993227,0.11863972940804603,0.08286502646659842,0.8677477307886083,llama33b,baseline
0.01643573564594288,0.015500147684975322,0.025305012148290472,0.21571957091065674,0.18548801827004327,0.4364810950727742,perplexity,mtp
0.01243211629646404,0.01090831326493937,0.022910618133172883,0.17879577056016707,0.13574080500852698,0.46390079811405477,perplexity,baseline
0.01995346197465788,0.019530867172840163,0.032828293813725276,0.2381633859270757,0.203134060895334,0.6423656588456591,qwen3,ensemble_mtp
0.019390206472888485,0.01779416624164016,0.03157894085657705,0.23550515714254147,0.1947403710179114,0.6493496028515632,qwen3,mtp
0.016775935343542284,0.013150073832949177,0.0236533183489217,0.23789220692360297,0.16876803480053537,0.7793626303466027,qwen3,baseline
