ritual_number,ritual_name,feature_label,coder1,coder2,disagreement_type,text_excerpt
Ritual10,Ritual of Assembly,Synchronous Chanting,1,0,Coder1 Only,"Ritual of the Assembly.

The assembly of the tribe meets in a definite place, which thus traditionally represents the center of the social life of the various peoples who make up the tribe. The meetin"
Ritual101,The First Woodland Ceremony,Synchronous Chanting,1,0,Coder1 Only,"The First Woodland Ceremony

Taking them out to the bush (ukufumisha banacisungu mumpanga) . On the seventh day we were all summoned to the hut at about nine in the morning. The banacisungu were bundl"
Ritual107,Seventeeth Day,Synchronous Chanting,0,1,Coder2 Only,"Seventeeth Day The Second Woodland Ceremony

Bringing the girls out of doors (ukubafumya panse) . The day opened with a good deal of discussion and coming and going. I was told this was the day for br"
Ritual12,Ordination of Buddhist Priest,Synchronous Chanting,1,0,Coder1 Only,"For Priests and Nuns.

For these professional workers, there are several grades of initiation. Upon assuming the whole Ten Commandments a young boy was admitted to the Order as an acolyte. He was call"
Ritual126,Prophylactic Exorcism Rite (Shiehtuu),Synchronous Chanting,1,0,Coder1 Only,"Exorcism: The Shiehtuu

When the rite of passing through oil is performed in connection with a god's birthday, it is a prophylactic rite, and its performance is primarily a drama of what the god would"
Ritual134,Sigui Festival,Synchronous Chanting,1,0,Coder1 Only,"Becoming Fully Born: the Sigui

Once every sixty years, the villages in the central part of the Dogon area celebrate the coming of the sigui, an ambulant ritual lasting over five years, in which the l"
Ritual135,Dama Ritual Day 1,Synchronous Chanting,1,0,Coder1 Only,"Celebration of the Dama

First day. — The first day of the Dama is called warsigiri (5). It coincides with that of the Sanga market.

At sunrise the cry of the masks makes itself heard at Songoulou. I"
Ritual140,Feasts,Synchronous Chanting,1,0,Coder1 Only,"Feasts

Every important ceremony is marked by a feast, which is presented by one group to another, divided into shares, and distributed according to rank to both recipients and donors. Feasts vary in "
Ritual146,"Ceremonial Exchanges, Solevu",Synchronous Chanting,0,1,Coder2 Only,"Ceremonial Exchanges

Large competitive ceremonial exchanges ( solevu ) are made according to a definite ceremonial pattern based on the sevusevu rites which were formerly used to make offerings to th"
Ritual15,Yum Chun Yum Sa,Synchronous Chanting,0,1,Coder2 Only,-
Ritual151,The Festival in Memory of the Dead (patapáanomão),Synchronous Chanting,0,1,Coder2 Only,"Religious Festivals

Every year, toward the end of the dry season, March-April, the Surára and Pakidái jointly celebrate the festival in memory of the dead -- patapáanomão -- . It always takes place i"
Ritual152,Magical Cure,Synchronous Chanting,0,1,Coder2 Only,"b) Magic cure ( rekurá ) for Xunamí: c) Magic cure ( rekurá ) for Xanimá:

Xunamí, the young, pretty wife of Kurikayawö, fell ill quite suddenly. She had a high fever, lay apathetically in her hammock"
Ritual161,Jam,Synchronous Chanting,1,0,Coder1 Only,"The followers of all branches of the Cult of Angels have ritual gatherings called Jam, âyini Jam , or Jamkhâna (spelled [unknown]Cemhane in Turkey), in a designated enclosure where holy scripture is r"
Ritual166,Magical Ceremony to Cure Sickness,Synchronous Chanting,1,0,Coder1 Only,"The procedure is always about the same. The medicine-man begins his treatment by spitting and blowing vigorously on the particular spot of the body where the evil is seated, and this action is from ti"
Ritual168,Girka,Synchronous Chanting,1,0,Coder1 Only,"One final point can be made about the social dynamics of cult ritual, and that includes the differentiation and integration of initiates. During the girka ritual the poles of cult leadership are symbo"
Ritual17,"The Family Shamas, the Chunchei or Sanchet",Synchronous Chanting,1,0,Coder1 Only,"The Family Shamas, the Chunchei or Sanchet

Whether these should be called Shamanistic rites at all or not, I am not entirely persuaded, but they seem to be like those of the Family Shamans in Siberia"
Ritual170,"Divination Rite, Agba",Synchronous Chanting,1,0,Coder1 Only,"Agba — Divination Rites

Agba rites are used in divining the source of an affliction, thieves, the outcome of duels, head-hunting and ordeals. There are two forms: (1) the spanning of a stick, and (2)"
Ritual172,Rice Ritual,Synchronous Chanting,1,0,Coder1 Only,"Rice Ritual

The calendar of these rites that follow is based on the rites in Central Ifugao at the time that only one crop a year was raised. Since 1937 the practice of raising two crops a year has s"
Ritual175,General Ritual Elements,Synchronous Chanting,1,0,Coder1 Only,"Of Rites in General

General Ritual Elements. The ritual acts that enter into every complete rite are:

Gonob, the invocation of ancestors or deities by name.

Duyun, charge or “prayer” to the deities"
Ritual182,Fifth Day of the I′pad: The Ala′wit Sacrifice,Synchronous Chanting,1,0,Coder1 Only,"Fifth Day of the I′pad: The Ala′wit Sacrifice

The Ala′wit sacrifice is the complement of the solemn Pa′hang or the I′pad. During the feast a great quantity of rice has been consumed, and now they see"
Ritual195,Momparilangka,Synchronous Chanting,1,0,Coder1 Only,"Momparilangka

Similar to the head-hunting ritual, in many respects was the momparilangka or mompakawurake, an initiation ceremony for girls. According to the first edition the first of these names wa"
Ritual197,Funeral 1,Synchronous Chanting,1,0,Coder1 Only,"Funerals

The Toradja had two funerals, which were separated by a considerable length of time. At the first of these the bodies were placed in temporary huts outside the village; at the second the bon"
Ritual2,Ceremony of the Tongues,Synchronous Chanting,1,0,Coder1 Only,"Ceremony of the Tongues.

While it is obvious from the preceding, that the medicine woman takes her vow at no fixed period in the year, the order of procedure is such that as a rule, she must have tak"
Ritual226,Naming Ceremony,Synchronous Chanting,1,0,Coder1 Only,"The Naming

Early in the morning of the eighth day the formal naming ceremony is performed. As they do for all public gatherings, men and women go separately; the women, in groups formed into single f"
Ritual228,"Ngumri Ashembe, End of Ramadan",Synchronous Chanting,1,0,Coder1 Only,"As the sun set on Tuesday, April 30th, everyone looked closely for the new moon which would mark the beginning of the new month and the end of the fast. The sky was slightly cloudy and the silver of t"
Ritual229,Ngumri Laya (or Salla Laya),Synchronous Chanting,1,0,Coder1 Only,"Another extremely important yearly festival is called Ngum[unknown]ri Laya or Salla Laya. This is the festival at which sacrifice of a ram is made, corresponding to the Hebrew festival of Pesach and t"
Ritual250,The Momtcit Ceremony,Synchronous Chanting,0,1,Coder2 Only,"Until the cessation of Indian warfare, the Momtcit ceremony was celebrated annually in the Wiklavi kiva of Oraibi, in the fall of the year, not long after the close of the women's Marau ritual which g"
Ritual253,Nia Ikar,Synchronous Chanting,1,0,Coder1 Only,"Nia Ikar ('The Way of the Demon') and Demon Attack

According to Holmer & Wassén (1958), Nia Ikar (‘The Way of the Demon’) is a chant used by the Kuna to cure insanity. There are several difficulties "
Ritual254,"Conversing, Apsoket",Synchronous Chanting,0,1,Coder2 Only,"Conversing' (Apsoket)

The longest and most complex of all Kuna curing ceremonies is called Apsoket (‘Conversing’), or Nek Apsoket (‘Conversing with the Place’). It involves the entire community in on"
Ritual255,"Girls' puberty rites, Inna rites",Synchronous Chanting,0,1,Coder2 Only,"Puberty Rites and Festivities

The focus of the third Kuna ritual tradition is an important stage in the life cycle of a woman, puberty. Girls’ puberty rites—called inna rites, after the fermented dri"
Ritual256a,The Day of the Red Dance,Synchronous Chanting,1,0,Coder1 Only,"The 'E-Unoto' Ceremony of the Masai

The cycle of ceremonies connected with the forming of a Masai age set starts with that known as eimpolosata , performed by the members of the age set immediately s"
Ritual257,"The Day of the White Dance, Part 1",Synchronous Chanting,1,0,Coder1 Only,"The second day of e-unoto is called ‘The Day of the White Dance.’ Soon after sunrise the muran went off into the bush to paint their bodies with diatomite. This white, chalklike substance is brought o"
Ritual258,"The Day of the White Dance, Part 2",Synchronous Chanting,1,0,Coder1 Only,"Once painted, the young men formed into two columns, some so yards apart, and marched to the village. Many wore ostrich headdresses and some the lion-mane caps. Around their necks and waists they wore"
Ritual259a,The Day of the Sacred Hut,Synchronous Chanting,1,0,Coder1 Only,"The third day is called ‘The Day of the Sacred Hut.’ During the morning a heifer, a gift to the Ol-Otuno from his father, is driven into the bush and slaughtered. This animal, called ‘The Cow of the R"
Ritual264,Meditation,Synchronous Chanting,1,0,Coder1 Only,"Meditation

One of the skills, intimately linked with beneficial magical power, which greatly increases the store of merit, and which carries great prestige is the concentration in a proper manner: th"
Ritual268,Phapa Ceremony,Synchronous Chanting,1,0,Coder1 Only,"Phapa: The Phapa ceremonies occur from the end of Lent until the harvest season. In 1953, Wat Banghuad received three Phapas. In contrast to all other ceremonies and rituals, the Phapa is the one occa"
Ritual269,Makhabucha Ceremony,Synchronous Chanting,1,0,Coder1 Only,"Makhabucha: The next Buddhist ceremony occurs on the 15th day of the waxing moon of the third month (February), and is known as Makhabucha (see Glossary).

Starting at 9:00 a.m., the monks, in turn, r"
Ritual270,Rice Pagoda Ritual (Khawphrasajkhawphlyag),Synchronous Chanting,1,0,Coder1 Only,"The Rice Pagoda Ritual (Khawphrasajkhawphlyag): This ritual, involving the construction of a rice pagoda, is always held in the third lunar month (February) for a practical reason. The harvesting has "
Ritual271,Wissakhabucha Ceremony,Synchronous Chanting,1,0,Coder1 Only,"Wissakhabucha: Wissakhabucha is celebrated on the 15th day of the waxing moon of the sixth lunar month (May). It is the last Buddhist ceremony prior to Lent, and perhaps the most important insofar as "
Ritual273,Special Ritual of the Wat Artist,Synchronous Chanting,0,1,Coder2 Only,"Special Ritual of the Wat Artist: The wat artist, each time he finishes a set of decorations to be used for the crematory, performs a small ritual. He lights joss-sticks and a candle, then sprinkles h"
Ritual284,Nongkrem Puja,Synchronous Chanting,0,1,Coder2 Only,-
Ritual287,Death Ceremonies,Synchronous Chanting,1,0,Coder1 Only,"Ceremonies Attending Death

The death customs of the Khasis are not only very elaborate, but possess a significance of their own, it is, therefore, necessary to describe them in detail; they are as fo"
Ritual291,NA,Synchronous Chanting,1,0,Coder1 Only,-
Ritual294,False Face Ceremony,Synchronous Chanting,1,0,Coder1 Only,"False Face Ceremony

The False Face Ceremony, which occurs next on the calendar, is called ??ethi[unknown] hsot hena[unknown] d??ui ??athenada[unknown] wenye?? (“grandfathers hunchback they travel,” o"
Ritual299,Six Nations Convention,Synchronous Chanting,1,0,Coder1 Only,"The Six Nations Convention and Gaiwiio

After discussing the calendrical communal cycle and before discussing the shamanistic societies and practices, we must mention another main complex of the Longh"
Ritual31,Burial,Synchronous Chanting,1,0,Coder1 Only,"Death and Burial

THE Serbian peasant will speak quite simply and naturally about his own death, and even make due material preparations for it. The coffin, or at least the materials for it, will ofte"
Ritual310,Ceremonial Collection of Bride Price,Synchronous Chanting,0,1,Coder2 Only,"In most societies the ceremony that marks the start of married life and is called a wedding, usually centers around the groom and the bride and their unification. One would seek such a wedding among t"
Ritual312,Pre-Juwo Ritual,Synchronous Chanting,0,1,Coder2 Only,"ECONOMIC CEREMONIES By far the most spectacular and elaborate Kapauku ceremony is juwo, “the pig feast.” This is a rather protracted affair comprising several major events and innumerable night dancin"
Ritual313,"Juwo, The Pig Feast",Synchronous Chanting,0,1,Coder2 Only,"After this proper initiation the people begin to build the dance house. This has a rectangular floor plan, its dimensions being approximatly 7 by 6 meters. It consists of an elevated spring or jumping"
Ritual318,Mandi Rumah,Synchronous Chanting,1,0,Coder1 Only,"The Dyak Feast Called ""Mandi Rumah""

When a new house has been taken possession of by it's future inmates, certain ceremonies must be gone through to make it habitable, such as the rite making it lawf"
Ritual319,Nyabak Nerengka,Synchronous Chanting,1,0,Coder1 Only,"Dyak Burial Custom

It is necessary first of all to explain what a baya is. Baya are things given to a deceased person. These things are either buried with the deceased or placed on the grave. The bay"
Ritual324,Timang Gawai Amat,Synchronous Chanting,1,0,Coder1 Only,"Timang Gawai Amat

Sather has described the chants accompanying Iban headhunting rituals as being “rich in religious and historical allusion, symbolic metaphor, expressions of social values and shared"
Ritual333,Elegy-Weeping,Synchronous Chanting,1,0,Coder1 Only,"The elegy-weeping. The coldness and insensitivity with which these natives of the Uaupés see any member of the family waste away, even if it is their own father, mother, or child, is striking. The sic"
Ritual348,Iwo Yangen,Synchronous Chanting,1,0,Coder1 Only,"The Iwo Yangen

This was one of the ancient fertility rites that was still practised in the 1930s and which I witnessed in Turan (see Plate XXI). Like the ilyum its object was to overawe or to prevent"
Ritual349,Swende u ombor,Synchronous Chanting,1,0,Coder1 Only,"The Akombo Swende

This akombo is a rite that is performed as a precaution against dangers threatened by the blood-taint, or as a purging of the blood-taint actually incurred that has put the person o"
Ritual35,Blessing of the Water,Synchronous Chanting,1,0,Coder1 Only,"Some Other Seasons

CHRISTMAS and Epiphany were originally one festival, the purpose of which was to commemorate the Birth of Christ. But different reckonings existed as to the date upon which this ev"
Ritual350,Swende u ndor,Synchronous Chanting,1,0,Coder1 Only,"The Akombo Swende

This akombo is a rite that is performed as a precaution against dangers threatened by the blood-taint, or as a purging of the blood-taint actually incurred that has put the person o"
Ritual358,Ñimongaraí,Synchronous Chanting,1,0,Coder1 Only,"Ñimongaraí: Naming Ceremony

If the monthly ñembo’é reaches its peak with the drinking of kãnguijý, the annual religious cycle culminates with the ñimongaraí, the Chiripá’s most important religious ce"
Ritual37,"Final death ceremony (""When we write with ashes"")",Synchronous Chanting,1,0,Coder1 Only,"""When We Write with Ashes""

The final death fiesta is more elaborate than any of the previous ones and ideally should be given at least three years (four years for females) after death but not before "
Ritual38,Curing ritual including yumari dance,Synchronous Chanting,0,1,Coder2 Only,"Curing Rituals

Among the gentiles all major rituals are carried out at the level of the rancho; there is no central location which serves as a community center for ceremonial or other group activitie"
Ritual388,Promoting the Growth of the Breasts,Synchronous Chanting,0,1,Coder2 Only,"Promoting the Growth of the Breasts

To promote the growth of the breasts of a girl, the men assemble at the Ungunja, or men's camp, where they all join in singing long chants, the words of which expr"
Ritual39,Peyote ceremony,Synchronous Chanting,0,1,Coder2 Only,"Shamans and the Peyote Fiesta

The peyote shamans are the most powerful of all. Although they can cure fields and people and conduct ceremonies like other shamans, their specialty is the peyote cure. "
Ritual393,Abo Lese,Synchronous Chanting,1,0,Coder1 Only,"Another important sacrifice is made for the re-opening of the forest ( abo lese or sulia ). Continuously bad hunting may be attributed to the anger of the God of the Undergrowth, caused by some indivi"
Ritual394,Weather Invocation,Synchronous Chanting,1,0,Coder1 Only,"Invocations usually concern the weather (requests for a storm to pass over speedily or to be diverted) and are often accompanied by the blowing of the segbe magic pipe, indicating with the arm the dir"
Ritual395,Food Offering,Synchronous Chanting,1,0,Coder1 Only,All Mbuti are said by Schebesta to offer a portion of food to the God of the Undergrowth. We can take this to apply to the archers. The practice seems to concern only food that has been hunted or gath
Ritual396,"Village Festival, Denbilsia",Synchronous Chanting,0,1,Coder2 Only,"The first of the annual cycle of village festivals was called Denbilsia and was observed after the completion of the clearing of the new swiddens, generally in January to February. Denbilsia was a one"
Ritual397,"Village Festival, Agalmaka",Synchronous Chanting,0,1,Coder2 Only,"The second festival, Agalmaka, was observed after the swiddens had been fired. The festival began with the nokma sacrificing a cock in his own swidden, after which the head of every household in the v"
Ritual398,"Village Festival, Asiroka",Synchronous Chanting,0,1,Coder2 Only,"Before seeds were sown in the swiddens, the Garo would observe the festival called Asiroka. On this occasion the nokma sacrificed a cock at a bamboo altar erected somewhere within the village itself. "
Ritual399,"Village Festival, Miamua",Synchronous Chanting,0,1,Coder2 Only,"Around June to July, when the padi was growing in the swiddens, the Garo would observe a festival called Miamua. This festival lasted only a single day and, during it, the nokma would sacrifice a pig "
Ritual400,"Village Festival, Rongchugala",Synchronous Chanting,0,1,Coder2 Only,"Before they harvested their swidden crops, the villagers would observe the festival called Rongchugala. This usually fell in August. On this occasion the nokma would offer the mite a special dish call"
Ritual401,"Village Festival, Ahaia",Synchronous Chanting,0,1,Coder2 Only,"After the harvest, in September, the Garo villagers observed the festival called Ahaia. On this occasion each household head would prepare a fish for the mite, the offering being made in the farmer’s "
Ritual402,"Village Festival, Wangala",Synchronous Chanting,0,1,Coder2 Only,"The last festival of the annual cycle was Wangala and this was the greatest celebration of them all. It would be observed about a month after Ahaia, at a time when the Garo villagers were completely f"
Ritual413,Birth-related Ceremony,Synchronous Chanting,0,1,Coder2 Only,"When a woman is about to be confined, her husband vows to offer up a sacrifice of a bull, a goat, or a fowl, according to his means, if the child is safely born. The vow is fulfilled immediately after"
Ritual45,Rain Fiesta,Synchronous Chanting,1,0,Coder1 Only,"Rain Fiesta

Since the Tarahumaras are chiefly an agricultural people, most of the native fiestas pertain to the crops and their outcome. The treatment of the fields does not omit the “curing” ceremon"
Ritual48,Dutuburi Dance,Synchronous Chanting,0,1,Coder2 Only,"The men do not dance, but line up on the left side of the chanter as he faces the cross (i.e., the north side of the patio ) and march back and forth with him. They keep themselves wrapped in their bl"
Ritual501,Habi Sanuka,Synchronous Chanting,1,0,Coder1 Only,"The habi sanuka, or festival of the “small rattles,” is a ritual in its own right. It is described by Barral (1957:104) as a theurgic dance, which, celebrated separately, involves a communal meal and "
Ritual520,Procession with Sacred Books,Synchronous Chanting,0,1,Coder2 Only,"Procession with the Sacred Books

A chief is appointed for the performance of the rite. He goes, with 108 men of the village, to the lamasery to borrow the books. The village defrays the expenses of a"
Ritual529,Spirits Expelled from the Villages,Synchronous Chanting,0,1,Coder2 Only,"Spirits Expelled from the Villages

Not only individual families are supposed to be harmed by evil spirits. The entire village may be haunted by spirits, and so every year in wintertime the evil spiri"
Ritual54,Naming Ceremony,Synchronous Chanting,1,0,Coder1 Only,"The ceremony of naming baby boys is very interesting. Early in the morning the family and friends, with the little one coated and ornamented with feathers of crimson and white, accompanied by a priest"
Ritual550,NA,Synchronous Chanting,1,0,Coder1 Only,-
Ritual551,NA,Synchronous Chanting,1,0,Coder1 Only,-
Ritual578,The Rain Ceremony,Synchronous Chanting,1,0,Coder1 Only,"The Rain Ceremony

Ritual finds its most elaborate expression in the ceremony known as cħa-chaac (“bring-rain”). The reasons why this is so have already been indicated (p. 123). The cħa-chaac is not t"
Ritual581,The Novena,Synchronous Chanting,1,0,Coder1 Only,"The Novena

In speaking of the ritual prayers recited in honor of Dios and the santos, the terms “novena,” “ rosario,” and “ rezo” are used almost indiscriminately. When a villager speaks of a “novena"
Ritual584,"Noevna on the Name Day, Novenarios for Patron Saint",Synchronous Chanting,1,0,Coder1 Only,"The Novena

In speaking of the ritual prayers recited in honor of Dios and the santos, the terms “novena,” “ rosario,” and “ rezo” are used almost indiscriminately. When a villager speaks of a “novena"
Ritual609,Prayer Meeting,Synchronous Chanting,0,1,Coder2 Only,"Each week members of Seminole Baptist churches gather for a Mekusvpkv Nere (“Prayer Night”), or as it is glossed in English, Prayer Meeting. Some of the congregations have Prayer Meetings on Friday ev"
Ritual617,Procession,Synchronous Chanting,0,1,Coder2 Only,"The procession begins by bringing the Nebî Musâ banner from the place where it is kept all the year through, called ed-Dâr el-Kbîreh, belonging to the □usênî family, and situated west of the □aram are"
