name1,name2,false_positive_rate,false_negative_rate,both_present,both_absent,disagree_fp,disagree_fn,feature,comparison_type,annotator,feature_label,fp_fn_ratio
Coder 1,Coder 2,0.004914004914004914,0.09547738693467336,180,405,2,19,singing,Human-Human,Human-Human,Synchronous Singing,0.051467735678261996
Coder 1,Coder 2,0.06342494714587738,0.52,60,443,30,65,chanting,Human-Human,Human-Human,Synchronous Chanting,0.12197105220361033
Coder 1,Coder 2,0.0078125,0.45569620253164556,43,508,4,36,praying,Human-Human,Human-Human,Synchronous Praying,0.017144097222222224
Coder 1,Coder 2,0.023172905525846704,0.6666666666666666,13,548,13,26,marching,Human-Human,Human-Human,Synchronous Marching,0.03475935828877006
Coder 1,Coder 2,0.03125,0.20398009950248755,160,372,12,41,dancing,Human-Human,Human-Human,Synchronous Dancing,0.15320121951219512
Coder 1,Coder 2,0.0985576923076923,0.686046511627907,54,375,41,118,generic_mvmt,Human-Human,Human-Human,Synchronous Generic Movement,0.14366036505867014
Ground Truth,claudesonnet45,0.15649867374005305,0.20855614973262032,148,318,59,39,singing,LLM-Human,claudesonnet45,Synchronous Singing,0.7503910766510236
Ground Truth,claudesonnet45,0.34743875278396436,0.3055555555555556,75,293,156,33,chanting,LLM-Human,claudesonnet45,Synchronous Chanting,1.1370722818384287
Ground Truth,claudesonnet45,0.15866388308977036,0.41333333333333333,44,403,76,31,praying,LLM-Human,claudesonnet45,Synchronous Praying,0.3838642332817025
Ground Truth,claudesonnet45,0.31226765799256506,0.16,21,370,168,4,marching,LLM-Human,claudesonnet45,Synchronous Marching,1.9516728624535316
Ground Truth,claudesonnet45,0.10789473684210527,0.1978021978021978,146,339,41,36,dancing,LLM-Human,claudesonnet45,Synchronous Dancing,0.54546783625731
Ground Truth,claudesonnet45,0.49884526558891457,0.24806201550387597,97,217,216,32,generic_mvmt,LLM-Human,claudesonnet45,Synchronous Generic Movement,2.010969976905312
Ground Truth,deepseekv31671b,0.018518518518518517,0.8128342245989305,35,371,7,152,singing,LLM-Human,deepseekv31671b,Synchronous Singing,0.022782651072124755
Ground Truth,deepseekv31671b,0.06430155210643015,0.6697247706422018,36,422,29,73,chanting,LLM-Human,deepseekv31671b,Synchronous Chanting,0.09601190656987517
Ground Truth,deepseekv31671b,0.008350730688935281,0.8533333333333334,11,475,4,64,praying,LLM-Human,deepseekv31671b,Synchronous Praying,0.009786012526096032
Ground Truth,deepseekv31671b,0.04638218923933209,0.56,11,514,25,14,marching,LLM-Human,deepseekv31671b,Synchronous Marching,0.08282533792737873
Ground Truth,deepseekv31671b,0.02099737532808399,0.6373626373626373,66,373,8,116,dancing,LLM-Human,deepseekv31671b,Synchronous Dancing,0.03294415784233867
Ground Truth,deepseekv31671b,0.05069124423963134,0.8914728682170543,14,412,22,115,generic_mvmt,LLM-Human,deepseekv31671b,Synchronous Generic Movement,0.05686235223402124
Ground Truth,gpt5nano,0.09788359788359788,0.45989304812834225,101,341,37,86,singing,LLM-Human,gpt5nano,Synchronous Singing,0.21283991632828841
Ground Truth,gpt5nano,0.2638580931263858,0.30275229357798167,76,332,119,33,chanting,LLM-Human,gpt5nano,Synchronous Chanting,0.871531277296244
Ground Truth,gpt5nano,0.25260960334029225,0.3333333333333333,50,358,121,25,praying,LLM-Human,gpt5nano,Synchronous Praying,0.7578288100208768
