model,feature,llm_f1,human_kappa,human_agreement,feature_label,model_label
claudesonnet45,singing,0.7512690355329948,0.919684443041969,0.9653465346534653,Synchronous Singing,Claude Sonnet 4.5
claudesonnet45,chanting,0.44247787610619466,0.46441029508814935,0.8411371237458194,Synchronous Chanting,Claude Sonnet 4.5
claudesonnet45,praying,0.45128205128205123,0.6473747016706443,0.9323181049069373,Synchronous Praying,Claude Sonnet 4.5
claudesonnet45,marching,0.19626168224299065,0.36708860759493595,0.935,Synchronous Marching,Claude Sonnet 4.5
claudesonnet45,dancing,0.7913279132791329,0.7919979068971763,0.9094017094017094,Synchronous Dancing,Claude Sonnet 4.5
claudesonnet45,generic_mvmt,0.43891402714932126,0.24794877570063395,0.7295918367346939,Synchronous Generic Movement,Claude Sonnet 4.5
deepseekv31671b,singing,0.3056768558951965,0.919684443041969,0.9653465346534653,Synchronous Singing,DeepSeek V3.1
deepseekv31671b,chanting,0.41379310344827586,0.46441029508814935,0.8411371237458194,Synchronous Chanting,DeepSeek V3.1
deepseekv31671b,praying,0.24444444444444444,0.6473747016706443,0.9323181049069373,Synchronous Praying,DeepSeek V3.1
deepseekv31671b,marching,0.36065573770491804,0.36708860759493595,0.935,Synchronous Marching,DeepSeek V3.1
deepseekv31671b,dancing,0.515625,0.7919979068971763,0.9094017094017094,Synchronous Dancing,DeepSeek V3.1
deepseekv31671b,generic_mvmt,0.1696969696969697,0.24794877570063395,0.7295918367346939,Synchronous Generic Movement,DeepSeek V3.1
gpt5nano,singing,0.6215384615384616,0.919684443041969,0.9653465346534653,Synchronous Singing,GPT-5 Nano
gpt5nano,chanting,0.5,0.46441029508814935,0.8411371237458194,Synchronous Chanting,GPT-5 Nano
gpt5nano,praying,0.4065040650406504,0.6473747016706443,0.9323181049069373,Synchronous Praying,GPT-5 Nano
gpt5nano,marching,0.30534351145038174,0.36708860759493595,0.935,Synchronous Marching,GPT-5 Nano
gpt5nano,dancing,0.6513157894736842,0.7919979068971763,0.9094017094017094,Synchronous Dancing,GPT-5 Nano
gpt5nano,generic_mvmt,0.46099290780141844,0.24794877570063395,0.7295918367346939,Synchronous Generic Movement,GPT-5 Nano
gptoss120b,singing,0.7478753541076487,0.919684443041969,0.9653465346534653,Synchronous Singing,GPT-OSS 120B
gptoss120b,chanting,0.43438914027149317,0.46441029508814935,0.8411371237458194,Synchronous Chanting,GPT-OSS 120B
gptoss120b,praying,0.33136094674556216,0.6473747016706443,0.9323181049069373,Synchronous Praying,GPT-OSS 120B
gptoss120b,marching,0.42696629213483145,0.36708860759493595,0.935,Synchronous Marching,GPT-OSS 120B
gptoss120b,dancing,0.7570977917981072,0.7919979068971763,0.9094017094017094,Synchronous Dancing,GPT-OSS 120B
gptoss120b,generic_mvmt,0.37168141592920356,0.24794877570063395,0.7295918367346939,Synchronous Generic Movement,GPT-OSS 120B
llama33b,singing,0.49193548387096775,0.919684443041969,0.9653465346534653,Synchronous Singing,Llama 3.2 Instruct (3B)
llama33b,chanting,0.33181126331811267,0.46441029508814935,0.8411371237458194,Synchronous Chanting,Llama 3.2 Instruct (3B)
llama33b,praying,0.23870967741935487,0.6473747016706443,0.9323181049069373,Synchronous Praying,Llama 3.2 Instruct (3B)
llama33b,marching,0.08561643835616439,0.36708860759493595,0.935,Synchronous Marching,Llama 3.2 Instruct (3B)
llama33b,dancing,0.4828532235939644,0.7919979068971763,0.9094017094017094,Synchronous Dancing,Llama 3.2 Instruct (3B)
llama33b,generic_mvmt,0.3726346433770015,0.24794877570063395,0.7295918367346939,Synchronous Generic Movement,Llama 3.2 Instruct (3B)
perplexity,singing,0.47513812154696133,0.919684443041969,0.9653465346534653,Synchronous Singing,Perplexity Sonar
perplexity,chanting,0.2955974842767296,0.46441029508814935,0.8411371237458194,Synchronous Chanting,Perplexity Sonar
perplexity,praying,0.2916666666666667,0.6473747016706443,0.9323181049069373,Synchronous Praying,Perplexity Sonar
perplexity,marching,0.18867924528301885,0.36708860759493595,0.935,Synchronous Marching,Perplexity Sonar
perplexity,dancing,0.4632768361581921,0.7919979068971763,0.9094017094017094,Synchronous Dancing,Perplexity Sonar
perplexity,generic_mvmt,0.3090909090909091,0.24794877570063395,0.7295918367346939,Synchronous Generic Movement,Perplexity Sonar
qwen3,singing,0.6208791208791209,0.919684443041969,0.9653465346534653,Synchronous Singing,Qwen 3 Instruct (4B)
qwen3,chanting,0.4190476190476191,0.46441029508814935,0.8411371237458194,Synchronous Chanting,Qwen 3 Instruct (4B)
qwen3,praying,0.3493975903614458,0.6473747016706443,0.9323181049069373,Synchronous Praying,Qwen 3 Instruct (4B)
qwen3,marching,0.22099447513812154,0.36708860759493595,0.935,Synchronous Marching,Qwen 3 Instruct (4B)
qwen3,dancing,0.7391304347826086,0.7919979068971763,0.9094017094017094,Synchronous Dancing,Qwen 3 Instruct (4B)
qwen3,generic_mvmt,0.3975155279503106,0.24794877570063395,0.7295918367346939,Synchronous Generic Movement,Qwen 3 Instruct (4B)
