model_label,feature_label,coder1,coder2,resolved,mean_individual,human_kappa
Claude Sonnet 4.5,Synchronous Chanting,0.18461846470655535,0.1819291819291822,0.24224232870500348,0.1832738233178688,0.46441029508814935
Claude Sonnet 4.5,Synchronous Dancing,0.6807584706248055,0.6415575892368833,0.6893690330916662,0.6611580299308444,0.7919979068971763
Claude Sonnet 4.5,Synchronous Generic Movement,0.1612831393906233,0.14262042501235497,0.16864897107068283,0.15195178220148914,0.24794877570063395
Claude Sonnet 4.5,Synchronous Marching,0.14339481621866879,0.13135202559791728,0.12785503278334157,0.13737342090829302,0.36708860759493595
Claude Sonnet 4.5,Synchronous Praying,0.34157503054537375,0.2567606896310873,0.34157503054537375,0.2991678600882305,0.6473747016706443
Claude Sonnet 4.5,Synchronous Singing,0.6182820204698961,0.5711147411705062,0.6156990724836826,0.5946983808202011,0.919684443041969
DeepSeek V3.1,Synchronous Chanting,0.22124409045389956,0.3483437138290251,0.3140386693887352,0.28479390214146233,0.46441029508814935
DeepSeek V3.1,Synchronous Dancing,0.38167556886330894,0.4245754794746389,0.4042938084510886,0.40312552416897396,0.7919979068971763
DeepSeek V3.1,Synchronous Generic Movement,0.01956383654456864,0.0885391346621298,0.07745762914588514,0.05405148560334922,0.24794877570063395
DeepSeek V3.1,Synchronous Marching,0.26351135273425014,0.2973917384250591,0.3253588516746415,0.2804515455796546,0.36708860759493595
DeepSeek V3.1,Synchronous Praying,0.20873766015542938,0.19333729922665108,0.20873766015542938,0.20103747969104024,0.6473747016706443
DeepSeek V3.1,Synchronous Singing,0.2097345989074307,0.21810426540284378,0.2085991435812287,0.21391943215513726,0.919684443041969
GPT-5 Nano,Synchronous Chanting,0.2354332534590709,0.27309113797388695,0.3335943004775697,0.2542621957164789,0.46441029508814935
GPT-5 Nano,Synchronous Dancing,0.5015282134821494,0.5177759028570482,0.5291453638831031,0.5096520581695988,0.7919979068971763
GPT-5 Nano,Synchronous Generic Movement,0.1634137132914199,0.2319872036807389,0.28263420849679777,0.19770045848607942,0.24794877570063395
GPT-5 Nano,Synchronous Marching,0.24390448261415998,0.24196960954029637,0.2516621952642014,0.24293704607722816,0.36708860759493595
GPT-5 Nano,Synchronous Praying,0.2689046766816711,0.17598941961899764,0.2689046766816711,0.2224470481503344,0.6473747016706443
GPT-5 Nano,Synchronous Singing,0.4735745722012228,0.44878048780487795,0.47137068225298645,0.4611775300030504,0.919684443041969
GPT-OSS 120B,Synchronous Chanting,0.202538381190753,0.2618974784774726,0.2953776775648252,0.23221792983411277,0.46441029508814935
GPT-OSS 120B,Synchronous Dancing,0.633045262617892,0.632638343563198,0.6648058083522124,0.6328418030905449,0.7919979068971763
GPT-OSS 120B,Synchronous Generic Movement,0.12307098055805903,0.18077777528442898,0.21784134935232694,0.151924377921244,0.24794877570063395
