feature,model1,model2,model1_label,model2_label,kappa,agreement,n,human_kappa,human_agreement,feature_label
singing,claudesonnet45,deepseekv31671b,Claude Sonnet 4.5,DeepSeek V3.1,0.2424613796884575,0.7067137809187279,566,0.919684443041969,0.9653465346534653,Synchronous Singing
singing,claudesonnet45,gptoss120b,Claude Sonnet 4.5,GPT-OSS 120B,0.710004351549011,0.8710247349823321,566,0.919684443041969,0.9653465346534653,Synchronous Singing
singing,claudesonnet45,gpt5nano,Claude Sonnet 4.5,GPT-5 Nano,0.5702136276197226,0.8144876325088339,566,0.919684443041969,0.9653465346534653,Synchronous Singing
singing,claudesonnet45,llama33b,Claude Sonnet 4.5,Llama 3.2 Instruct (3B),0.010902158587683956,0.37809187279151946,566,0.919684443041969,0.9653465346534653,Synchronous Singing
singing,claudesonnet45,qwen3,Claude Sonnet 4.5,Qwen 3 Instruct (4B),0.5880868878138039,0.8144876325088339,566,0.919684443041969,0.9653465346534653,Synchronous Singing
singing,claudesonnet45,perplexity,Claude Sonnet 4.5,Perplexity Sonar,0.19981391677004637,0.6405693950177936,562,0.919684443041969,0.9653465346534653,Synchronous Singing
singing,deepseekv31671b,gptoss120b,DeepSeek V3.1,GPT-OSS 120B,0.30210016155088854,0.7742504409171076,567,0.919684443041969,0.9653465346534653,Synchronous Singing
singing,deepseekv31671b,gpt5nano,DeepSeek V3.1,GPT-5 Nano,0.3356545961002786,0.8130511463844797,567,0.919684443041969,0.9653465346534653,Synchronous Singing
singing,deepseekv31671b,llama33b,DeepSeek V3.1,Llama 3.2 Instruct (3B),0.002287184618683448,0.08818342151675485,567,0.919684443041969,0.9653465346534653,Synchronous Singing
singing,deepseekv31671b,qwen3,DeepSeek V3.1,Qwen 3 Instruct (4B),0.2789625360230547,0.7548500881834215,567,0.919684443041969,0.9653465346534653,Synchronous Singing
singing,deepseekv31671b,perplexity,DeepSeek V3.1,Perplexity Sonar,0.09371830540331791,0.6927175843694494,563,0.919684443041969,0.9653465346534653,Synchronous Singing
singing,gptoss120b,gpt5nano,GPT-OSS 120B,GPT-5 Nano,0.6863739806561729,0.8765432098765432,567,0.919684443041969,0.9653465346534653,Synchronous Singing
singing,gptoss120b,llama33b,GPT-OSS 120B,Llama 3.2 Instruct (3B),0.0067498348020062875,0.30335097001763667,567,0.919684443041969,0.9653465346534653,Synchronous Singing
singing,gptoss120b,qwen3,GPT-OSS 120B,Qwen 3 Instruct (4B),0.6031079378412431,0.8324514991181657,567,0.919684443041969,0.9653465346534653,Synchronous Singing
singing,gptoss120b,perplexity,GPT-OSS 120B,Perplexity Sonar,0.22204462104972233,0.6714031971580817,563,0.919684443041969,0.9653465346534653,Synchronous Singing
singing,gpt5nano,llama33b,GPT-5 Nano,Llama 3.2 Instruct (3B),0.009165058215553185,0.25749559082892415,567,0.919684443041969,0.9653465346534653,Synchronous Singing
singing,gpt5nano,qwen3,GPT-5 Nano,Qwen 3 Instruct (4B),0.523687313588125,0.8077601410934744,567,0.919684443041969,0.9653465346534653,Synchronous Singing
singing,gpt5nano,perplexity,GPT-5 Nano,Perplexity Sonar,0.15056402879947464,0.6571936056838366,563,0.919684443041969,0.9653465346534653,Synchronous Singing
singing,llama33b,qwen3,Llama 3.2 Instruct (3B),Qwen 3 Instruct (4B),0.002570342621202619,0.31922398589065254,567,0.919684443041969,0.9653465346534653,Synchronous Singing
singing,llama33b,perplexity,Llama 3.2 Instruct (3B),Perplexity Sonar,-0.002666789701946992,0.31438721136767317,563,0.919684443041969,0.9653465346534653,Synchronous Singing
singing,qwen3,perplexity,Qwen 3 Instruct (4B),Perplexity Sonar,0.1514414063361588,0.6358792184724689,563,0.919684443041969,0.9653465346534653,Synchronous Singing
chanting,claudesonnet45,deepseekv31671b,Claude Sonnet 4.5,DeepSeek V3.1,0.2913337787978268,0.6932624113475178,564,0.46441029508814935,0.8411371237458194,Synchronous Chanting
chanting,claudesonnet45,gptoss120b,Claude Sonnet 4.5,GPT-OSS 120B,0.46526392673539885,0.7606382978723404,564,0.46441029508814935,0.8411371237458194,Synchronous Chanting
chanting,claudesonnet45,gpt5nano,Claude Sonnet 4.5,GPT-5 Nano,0.5319346700305405,0.7783687943262412,564,0.46441029508814935,0.8411371237458194,Synchronous Chanting
chanting,claudesonnet45,llama33b,Claude Sonnet 4.5,Llama 3.2 Instruct (3B),0.011902451646290163,0.4237588652482269,564,0.46441029508814935,0.8411371237458194,Synchronous Chanting
chanting,claudesonnet45,qwen3,Claude Sonnet 4.5,Qwen 3 Instruct (4B),0.5126385224274406,0.7677304964539007,564,0.46441029508814935,0.8411371237458194,Synchronous Chanting
chanting,claudesonnet45,perplexity,Claude Sonnet 4.5,Perplexity Sonar,0.05508870214752583,0.5482142857142858,560,0.46441029508814935,0.8411371237458194,Synchronous Chanting
chanting,deepseekv31671b,gptoss120b,DeepSeek V3.1,GPT-OSS 120B,0.4608516164942715,0.855379188712522,567,0.46441029508814935,0.8411371237458194,Synchronous Chanting
chanting,deepseekv31671b,gpt5nano,DeepSeek V3.1,GPT-5 Nano,0.34284046976438826,0.7477954144620811,567,0.46441029508814935,0.8411371237458194,Synchronous Chanting
chanting,deepseekv31671b,llama33b,DeepSeek V3.1,Llama 3.2 Instruct (3B),-0.0025340921292816543,0.12874779541446207,567,0.46441029508814935,0.8411371237458194,Synchronous Chanting
chanting,deepseekv31671b,qwen3,DeepSeek V3.1,Qwen 3 Instruct (4B),0.31206017956806587,0.7266313932980599,567,0.46441029508814935,0.8411371237458194,Synchronous Chanting
chanting,deepseekv31671b,perplexity,DeepSeek V3.1,Perplexity Sonar,0.0484457633323211,0.6145648312611013,563,0.46441029508814935,0.8411371237458194,Synchronous Chanting
